PhaseShifterPosition	Period	O_Counts	H_Counts	O+H	O_AUX_Counts	H_AUX_Counts	O_AUX+H_AUX	Monitor_Counts
0.000	180	32	133	165	41	316	357	453
0.150	180	31	134	165	53	373	426	474
0.300	180	32	105	137	66	315	381	463
0.450	180	31	101	132	103	276	379	485
0.600	180	37	99	136	102	229	331	455
0.750	180	43	89	132	124	231	355	448
0.900	180	40	82	122	113	278	391	473
1.050	180	32	103	135	111	316	427	445
1.200	180	29	105	134	84	302	386	450
1.350	180	21	114	135	65	339	404	469
1.500	180	15	141	156	41	336	377	485
1.650	180	21	146	167	54	364	418	392
1.800	180	32	100	132	83	299	382	458
1.950	180	39	111	150	88	245	333	489
2.100	180	28	105	133	107	278	385	468
2.250	180	35	101	136	122	211	333	478
2.400	180	41	97	138	105	243	348	487
2.550	180	31	99	130	92	286	378	440
2.700	180	28	119	147	67	319	386	433
2.850	180	30	121	151	75	380	455	471
3.000	180	32	121	153	54	318	372	481
3.150	180	23	113	136	62	357	419	480
3.300	180	31	105	136	68	293	361	462
3.450	180	34	99	133	98	288	386	470
3.600	180	49	86	135	122	222	344	410
3.750	180	36	91	127	129	260	389	448
3.900	180	44	106	150	140	228	368	495
