Rocking_Angle	Period	O_Counts	H_Counts	O+H	O_AUX_Counts	H_AUX_Counts	O_AUX+H_AUX	Monitor_Counts
0.300	180	22	31	53	26	31	57	440
0.400	180	23	25	48	24	36	60	459
0.500	180	19	24	43	27	41	68	451
0.600	180	16	25	41	28	41	69	429
0.700	180	18	46	64	34	72	106	474
0.800	180	16	89	105	56	179	235	404
0.900	180	21	120	141	91	351	442	429
1.000	180	39	139	178	101	355	456	407
1.100	180	37	90	127	104	272	376	454
1.200	180	33	78	111	86	197	283	444
1.300	180	30	48	78	54	125	179	424
1.400	180	23	36	59	40	69	109	409
1.500	180	21	20	41	31	26	57	442
1.600	180	13	17	30	28	32	60	430
1.700	180	20	26	46	14	43	57	462
